Model,MSE,RMSE,MAE,R2
Linear Regression,29.095169866715477,5.393993869732841,4.21476314247485,0.8804332983749565
Ridge Regression,29.056601626694817,5.390417574427311,4.211112826071163,0.8805917946912825
Lasso Regression,28.819477649243698,5.368377562098599,4.154471638154984,0.881566256500233
SVR,36.404144915349036,6.033584748335689,4.590667183476983,0.8503970400259513
Random Forest,36.405085090844665,6.033662659682315,4.701466666666667,0.8503931763714865
Gradient Boosting,31.09705793338526,5.576473610928797,4.303784093112587,0.8722065324117145
